wban,start_date,end_date,lat_deg,lat_min,lat_sec,lng_deg,lng_min,lng_sec,dec_lat,dec_lng,time_gap,gap_calc
100,19600801,99991231,34,5,59,-93,3,57,34.0997222222,-93.0658333333,0,0
101,10101,99991231,43,4,1,74,28,59,43.0669444444,75.45,0,0
102,19580701,99991231,66,58,59,-160,25,59,66.9830555556,-160.4330555556,0,0
103,19541001,99991231,65,37,1,-168,6,0,65.6169444444,-168.1,0,0
104,10101,99991231,63,1,1,-154,22,1,63.0169444444,-154.3669444444,0,0
105,20030301,99991231,61,52,1,-162,1,59,61.8669444444,-162.0330555556,0,0
106,19730801,99991231,59,55,54,-164,1,41,59.9316666667,-164.0280555556,0,0
107,10101,99991231,59,27,0,-157,19,59,59.45,-157.3330555556,0,0
108,19730601,99991231,61,51,0,-165,34,1,61.85,-165.5669444444,0,0
109,19710801,99991231,58,58,59,-159,3,0,58.9830555556,-159.05,0,0
110,19791001,99991231,56,1,1,-161,10,1,56.0169444444,-161.1669444444,0,0
111,20020701,99991231,64,22,12,-161,13,26,64.37,-161.2238888889,0,0
112,19970401,99991231,59,43,59,-157,16,1,59.7330555556,-157.2669444444,0,0
113,20030601,99991231,66,49,5,-161,1,19,66.8180555556,-161.0219444444,0,0
114,19611001,99991231,48,36,0,-113,7,1,48.6,-113.1169444444,0,0
115,19430301,99991231,34,15,50,-116,51,14,34.2638888889,-116.8538888889,0,0
116,20030812,99991231,38,34,59,-91,0,0,38.5830555556,-91,0,0
117,19550101,99991231,40,44,49,-122,55,19,40.7469444444,-122.9219444444,0,0
118,19430701,99991231,45,25,1,-123,49,1,45.4169444444,-123.8169444444,0,0
119,19370901,99991231,46,40,59,-122,58,59,46.6830555556,-122.9830555556,0,0
120,20141217,99991231,37,4,1,-81,48,0,37.0669444444,-81.8,0,0
121,19430301,99991231,32,9,0,-111,10,1,32.15,-111.1669444444,0,0
122,19381201,99991231,41,1,59,-80,25,1,41.0330555556,-80.4169444444,0,0
123,19950801,99991231,63,29,24,-162,6,36,63.49,-162.11,0,0
124,20070326,99991231,38,58,1,-76,19,59,38.9669444444,-76.3330555556,0,0
125,20060901,99991231,45,7,1,-95,7,59,45.1169444444,-95.1330555556,0,0
